Label1	Pivot Field Values	Calculation1	Total
UC [CAMPUS] is a welcoming campus	6	14%	77
UC [CAMPUS] is a safe and secure campus	6	9%	51
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	6	14%	79
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	6	18%	102
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	6	20%	115
UC [CAMPUS] is a welcoming campus	5	29%	165
UC [CAMPUS] is a safe and secure campus	5	24%	135
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	5	31%	177
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	5	37%	208
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	5	37%	208
UC [CAMPUS] is a welcoming campus	4	33%	190
UC [CAMPUS] is a safe and secure campus	4	30%	170
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	4	31%	177
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	4	27%	156
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	4	23%	129
UC [CAMPUS] is a welcoming campus	3	12%	69
UC [CAMPUS] is a safe and secure campus	3	18%	104
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	3	11%	63
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	3	8%	46
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	3	8%	47
UC [CAMPUS] is a welcoming campus	2	7%	41
UC [CAMPUS] is a safe and secure campus	2	11%	65
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	2	8%	44
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	2	5%	28
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	2	6%	36
UC [CAMPUS] is a welcoming campus	1	5%	26
UC [CAMPUS] is a safe and secure campus	1	8%	43
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	1	5%	27
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	1	5%	28
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	1	6%	33
