Label1	Pivot Field Values	Calculation1	Total
UC [CAMPUS] is a welcoming campus	6	5%	7
UC [CAMPUS] is a safe and secure campus	6	2%	3
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	6	9%	13
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	6	13%	19
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	6	26%	37
UC [CAMPUS] is a welcoming campus	5	36%	51
UC [CAMPUS] is a safe and secure campus	5	23%	32
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	5	36%	51
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	5	44%	62
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	5	45%	64
UC [CAMPUS] is a welcoming campus	4	35%	49
UC [CAMPUS] is a safe and secure campus	4	32%	45
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	4	31%	44
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	4	28%	39
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	4	17%	24
UC [CAMPUS] is a welcoming campus	3	14%	20
UC [CAMPUS] is a safe and secure campus	3	23%	33
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	3	11%	15
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	3	7%	10
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	3	4%	6
UC [CAMPUS] is a welcoming campus	2	5%	7
UC [CAMPUS] is a safe and secure campus	2	11%	16
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	2	6%	9
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	2	4%	5
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	2	4%	5
UC [CAMPUS] is a welcoming campus	1	5%	7
UC [CAMPUS] is a safe and secure campus	1	9%	12
Overall, I feel comfortable with the climate for diversity and inclusiveness at this university	1	6%	9
Overall, I feel comfortable with the climate for diversity and inclusion in my classes	1	4%	6
Overall, I feel comfortable with the campus climate for diversity and inclusion in my major	1	4%	5
